sentiment,trades,avg_size_usd,avg_size_tokens,avg_pnl,win_rate,volume_usd
Extreme Fear,21400,5349.7318429906545,1675.893318903574,34.53786207897196,0.370607476635514,114484261.44
Extreme Greed,39980,3113.1857071035515,8835.066694990168,67.91323938651826,0.4650825412706353,124465164.57
Fear,61826,7817.500562708246,2993.174171055598,54.3000589014654,0.42084236405395786,483324789.79
Greed,50283,5739.16621363085,4717.195705458596,42.76056068553984,0.3849810074975638,288582494.72
Neutral,37686,4782.732661465797,4383.368713675988,34.30771839807886,0.3969909250119408,180242063.08
Unknown,6,14778.143333333333,5466.251666666667,7078.6656883333335,1.0,88668.86
